timestamp,Open_x,High_x,Low_x,Close_x,Open_y,High_y,Low_y,Close_y,FundingRate,datetime
1609459200000,28948.19,29546.42,28706.00,29302.11,28923.63000000,29470.00000000,28690.17000000,29278.40000000,0.00036744,
1609473600000,29302.11,29422.32,28822.00,29107.71,29278.41000000,29395.00000000,28806.54000000,29092.83000000,0.00022753,
1609488000000,29107.72,29454.45,28900.00,29341.99,29092.84000000,29402.57000000,28872.24000000,29313.49000000,0.00022753,
1609502400000,29342.00,29668.86,29043.75,29210.84,29313.49000000,29600.00000000,29030.14000000,29188.67000000,0.00026336,
1609516800000,29210.85,29388.10,28627.12,29048.47,29188.67000000,29360.00000000,28624.57000000,29029.04000000,0.00026336,
1609531200000,29048.48,29350.00,28886.37,29337.16,29029.04000000,29338.89000000,28880.37000000,29331.69000000,0.00034457,
1609545600000,29337.15,29500.00,28958.24,29364.67,29331.70000000,29469.00000000,28946.53000000,29351.95000000,0.00010000,
1609560000000,29364.68,29878.00,29230.00,29777.33,29351.95000000,29820.50000000,29220.00000000,29750.00000000,0.00010000,
1609574400000,29778.77,29950.00,29491.09,29775.52,29751.47000000,29899.00000000,29473.91000000,29755.00000000,0.00020151,
1609588800000,29775.00,31873.02,29759.68,31717.01,29754.99000000,31800.00000000,29741.39000000,31691.29000000,0.00020151,
1609603200000,31720.79,33480.00,31718.43,33115.41,31691.09000000,33300.00000000,31616.42000000,33027.20000000,0.00020151,
1609617600000,33115.41,33146.49,30528.00,32199.91,33027.20000000,33061.37000000,30300.00000000,32178.33000000,0.00115471,
1609632000000,32198.41,32928.16,32000.02,32601.49,32176.45000000,32884.09000000,31962.99000000,32573.87000000,0.00115471,
1609646400000,32601.49,34832.25,32472.00,34472.24,32576.11000000,34778.11000000,32450.00000000,34452.34000000,0.00124058,
1609660800000,34476.00,34743.92,33457.00,34464.06,34451.78000000,34670.41000000,33403.00000000,34413.53000000,0.00114744,
1609675200000,34464.07,34663.00,32826.35,33540.46,34413.53000000,34600.00000000,32727.00000000,33506.62000000,0.00114744,
1609689600000,33538.81,33886.96,32400.00,32823.72,33505.15000000,33822.69000000,32267.00000000,32772.21000000,0.00114744,
1609704000000,32823.72,33948.13,32703.33,33054.53,32775.10000000,33861.92000000,32600.00000000,33000.05000000,0.00155006,
1609718400000,33053.93,33647.69,32457.00,33562.22,33000.05000000,33588.00000000,32400.25000000,33505.16000000,0.00164126,
1609732800000,33562.23,33653.56,31692.10,32186.58,33505.15000000,33600.00000000,31505.00000000,32068.84000000,0.00164126,
1609747200000,32187.38,32642.70,27800.00,30760.39,32068.84000000,32567.88000000,28130.00000000,30743.06000000,0.00236482,
1609761600000,30757.33,32190.01,30472.48,31758.38,30742.99000000,32185.67000000,30454.25000000,31745.72000000,0.00236482,
1609776000000,31755.02,31940.00,30661.66,31689.27,31745.71000000,31920.00000000,30626.36000000,31665.51000000,0.00056137,
1609790400000,31691.15,32075.19,30900.00,32031.07,31665.52000000,32031.01000000,30856.08000000,31988.71000000,0.00056137,
1609804800000,32029.55,32900.00,31155.17,31217.58,31989.75000000,32853.38000000,31130.86000000,31200.00000000,0.00056137,
1609819200000,31218.96,31575.46,29900.00,30844.23,31190.04000000,31538.45000000,29900.00000000,30817.77000000,0.00088338,
1609833600000,30844.25,31850.00,30840.00,31824.53,30817.78000000,31821.94000000,30817.78000000,31776.66000000,0.00088338,
1609848000000,31816.47,32450.05,31142.74,32133.79,31776.66000000,32375.07000000,31111.78000000,32099.98000000,0.00047166,
1609862400000,32130.05,34300.00,31802.25,33747.00,32099.97000000,34187.09000000,31763.23000000,33697.75000000,0.00047166,
1609876800000,33747.00,34500.00,33405.00,33999.52,33693.80000000,34360.00000000,33318.00000000,33949.53000000,0.00062904,
1609891200000,33999.51,34244.66,33356.46,34182.50,33949.53000000,34170.00000000,33288.00000000,34117.59000000,0.00062904,
1609905600000,34182.50,35948.66,34173.20,34718.61,34116.76000000,35766.58000000,34109.83000000,34676.40000000,0.00127193,
1609920000000,34716.88,35350.00,33650.00,34994.66,34666.80000000,35200.00000000,33357.90000000,34918.53000000,0.00127193,
1609934400000,34994.67,35195.53,34113.48,34606.40,34918.54000000,35088.00000000,34052.42000000,34566.19000000,0.00210008,
1609948800000,34606.39,35749.67,34371.33,34861.70,34566.18000000,35695.00000000,34372.92000000,34816.72000000,0.00149253,
1609963200000,34861.71,37037.51,34330.00,36823.68,34818.95000000,36939.21000000,34280.00000000,36769.36000000,0.00149253,
1609977600000,36825.77,37795.42,36500.00,37555.54,36769.36000000,37699.00000000,36422.71000000,37454.48000000,0.00149253,
1609992000000,37554.98,37790.36,36751.00,36906.64,37452.62000000,37700.80000000,36710.00000000,36859.85000000,0.00100316,
1610006400000,36909.86,38055.00,36337.36,37920.00,36863.04000000,37913.72000000,36300.00000000,37822.09000000,0.00142744,
1610020800000,37919.72,39050.00,37558.80,39049.99,37825.64000000,38970.42000000,37518.00000000,38970.42000000,0.00142744,
1610035200000,39050.00,40565.62,36690.56,39128.05,38970.41000000,40365.00000000,36500.00000000,39062.00000000,0.00142744,
1610049600000,39128.04,40129.87,38426.23,39498.92,39061.99000000,39969.00000000,38352.88000000,39432.28000000,0.00099841,
1610064000000,39498.32,39818.77,36539.77,38374.71,39432.48000000,39699.87000000,36500.00000000,38347.10000000,0.00213517,
1610078400000,38374.72,39200.00,37615.00,38965.76,38347.11000000,39143.80000000,37563.92000000,38930.55000000,0.00213517,
1610092800000,38965.80,41800.00,38250.87,41399.98,38929.56000000,41500.45000000,38222.00000000,41286.67000000,0.00092044,
1610107200000,41399.98,42125.51,39726.37,40879.40,41286.67000000,41950.00000000,39777.00000000,40829.08000000,0.00092044,
1610121600000,40877.97,41689.84,39800.00,40426.44,40829.07000000,41600.00000000,39800.00000000,40365.09000000,0.00131892,
1610136000000,40426.44,41000.00,38655.00,40637.23,40365.09000000,40937.77000000,38652.00000000,40582.81000000,0.00131892,
1610150400000,40638.91,41045.93,39545.00,40275.85,40586.96000000,40976.13000000,39500.00000000,40211.59000000,0.00131892,
1610164800000,40275.84,40555.00,38733.28,39683.38,40209.91000000,40490.00000000,38720.00000000,39638.61000000,0.00062954,
1610179200000,39683.38,41375.00,39330.24,40639.04,39639.21000000,41237.44000000,39290.86000000,40565.77000000,0.00062954,
1610193600000,40639.69,41539.88,40250.00,40600.00,40565.77000000,41380.00000000,40200.00000000,40525.15000000,0.00066918,
1610208000000,40600.01,40980.48,39850.00,40769.42,40525.16000000,40880.00000000,39869.00000000,40665.91000000,0.00146942,
1610222400000,40769.42,40892.00,39901.00,40136.04,40665.91000000,40781.69000000,39928.91000000,40088.22000000,0.00146942,
1610236800000,40136.05,41412.12,40125.56,40393.50,40088.22000000,41350.00000000,40087.15000000,40316.64000000,0.00145604,
1610251200000,40388.17,41153.43,40100.00,41056.69,40320.67000000,41073.26000000,40050.00000000,40978.57000000,0.00145604,
1610265600000,41056.69,41226.26,38847.01,39233.99,40978.57000000,41060.00000000,38888.00000000,39181.76000000,0.00145604,
1610280000000,39233.99,40118.09,38500.00,39723.00,39175.09000000,40126.00000000,38450.00000000,39671.81000000,0.00120632,
1610294400000,39723.00,39813.81,37184.90,37531.91,39671.82000000,39757.55000000,37111.00000000,37456.77000000,0.00052988,
1610308800000,37533.15,39080.00,35268.00,38221.67,37472.40000000,39000.00000000,35111.11000000,38150.02000000,0.00052988,
1610323200000,38200.01,38322.18,33600.00,35473.52,38150.02000000,38264.74000000,33600.00000000,35438.23000000,0.00086486,
1610337600000,35469.47,36003.03,32600.00,34399.95,35438.23000000,35999.95000000,32538.00000000,34375.34000000,0.00086486,
1610352000000,34399.95,36399.99,34077.00,34218.66,34372.25000000,36360.00000000,34020.00000000,34198.56000000,0.00086486,
1610366400000,34225.10,35146.14,31146.15,31618.49,34198.55000000,35110.00000000,31115.00000000,31580.00000000,0.00081553,
1610380800000,31618.49,33570.58,30448.00,32282.08,31582.82000000,33585.17000000,30420.00000000,32254.62000000,0.00053444,
1610395200000,32284.74,35619.00,31441.65,35408.46,32254.63000000,35638.55000000,31408.07000000,35404.47000000,0.00053444,
1610409600000,35406.92,35536.55,33727.32,35020.00,35410.37000000,35547.19000000,33677.03000000,34984.96000000,0.00033526,
1610424000000,35019.09,36693.44,34543.79,36452.84,34984.95000000,36628.00000000,34520.69000000,36413.60000000,0.00033526,
1610438400000,36447.10,36550.00,34789.92,35451.00,36413.60000000,36499.98000000,34757.00000000,35410.99000000,0.00050855,
1610452800000,35452.47,35720.00,32600.00,33861.95,35410.99000000,35688.82000000,32531.00000000,33829.40000000,0.00050855,
1610467200000,33861.94,35584.79,33840.77,34722.18,33829.40000000,35550.00000000,33819.11000000,34685.11000000,0.00050855,
1610481600000,34722.18,35075.21,33300.00,34056.90,34686.10000000,35051.02000000,33260.74000000,34051.24000000,0.00054945,
1610496000000,34065.53,34430.00,32420.00,33842.49,34049.15000000,34375.51000000,32380.00000000,33818.50000000,0.00054945,
1610510400000,33843.03,35200.00,32827.50,35019.26,33818.50000000,35180.67000000,32800.00000000,34986.90000000,0.00014768,
1610524800000,35019.26,35325.39,34212.39,34428.04,34986.90000000,35250.00000000,34200.00000000,34385.48000000,0.00022590,
1610539200000,34431.81,35188.45,34035.00,34711.76,34385.48000000,35100.00000000,34017.00000000,34673.90000000,0.00022590,
1610553600000,34711.35,36235.59,34421.39,36035.43,34673.90000000,36188.00000000,34388.53000000,36002.25000000,0.00022590,
1610568000000,36035.42,37880.00,35762.22,37421.07,36002.24000000,37850.00000000,35704.21000000,37371.38000000,0.00070530,
1610582400000,37416.34,38273.36,37051.00,37103.00,37371.38000000,38172.22000000,37000.00000000,37045.13000000,0.00078331,
1610596800000,37107.37,38665.00,36764.33,38240.00,37045.13000000,38596.92000000,36701.23000000,38198.34000000,0.00078331,
1610611200000,38235.80,38850.00,37949.99,38415.39,38199.52000000,38786.10000000,37862.04000000,38365.86000000,0.00078331,
1610625600000,38415.38,40189.39,37760.00,39580.96,38365.86000000,40100.00000000,37707.00000000,39546.01000000,0.00072627,
1610640000000,39580.96,40061.83,39241.00,39925.50,39546.01000000,40000.00000000,39212.15000000,39876.98000000,0.00068503,
1610654400000,39923.48,39999.00,38385.00,39163.31,39876.97000000,39935.10000000,38259.25000000,39144.50000000,0.00068503,
1610668800000,39163.31,39790.00,38500.00,38749.01,39145.21000000,39747.76000000,38450.00000000,38700.00000000,0.00068503,
